Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1994-11-29,9.3728,9.3728,9.3728,9.3728,187713
1994-11-30,10.259,10.259,10.259,10.259,180037
1994-12-01,11.258,11.258,11.258,11.258,112850
1994-12-02,11.437,11.437,11.437,11.437,238588
1994-12-05,10.613,10.613,10.613,10.613,186453
1994-12-06,10.904,10.904,10.904,10.904,165259
1994-12-07,10.433,10.433,10.433,10.433,204313
1994-12-08,9.4353,9.4353,9.4353,9.4353,459912
1994-12-09,9.726,9.726,9.726,9.726,94316
1994-12-12,10.669,10.669,10.669,10.669,158626
1994-12-13,10.315,10.315,10.315,10.315,106554
1994-12-14,9.789,9.789,9.789,9.789,50199
1994-12-15,9.907,9.907,9.907,9.907,45862
1994-12-16,10.552,10.552,10.552,10.552,62440
1994-12-19,10.552,10.552,10.552,10.552,63348
1994-12-20,10.142,10.142,10.142,10.142,34858
1994-12-21,10.259,10.259,10.259,10.259,23342
1994-12-22,10.315,10.315,10.315,10.315,36107
1994-12-23,10.495,10.495,10.495,10.495,39999
1994-12-27,10.495,10.495,10.495,10.495,46019
1994-12-28,10.08,10.08,10.08,10.08,25346
1994-12-29,10.315,10.315,10.315,10.315,35097
1995-01-02,10.904,10.904,10.904,10.904,74960
1995-01-03,11.202,11.202,11.202,11.202,106201
1995-01-04,10.904,10.904,10.904,10.904,45572
1995-01-05,10.904,10.904,10.904,10.904,36585
1995-01-06,10.378,10.378,10.378,10.378,58599
1995-01-09,10.613,10.613,10.613,10.613,38121
1995-01-10,10.613,10.613,10.613,10.613,52912
1995-01-11,10.552,10.552,10.552,10.552,64537
1995-01-12,10.259,10.259,10.259,10.259,39386
1995-01-13,10.613,10.613,10.613,10.613,35717
1995-01-16,10.849,10.849,10.849,10.849,103118
1995-01-17,10.613,10.613,10.613,10.613,64367
1995-01-18,10.552,10.552,10.552,10.552,69511
1995-01-19,10.552,10.552,10.552,10.552,14072
1995-01-20,10.433,10.433,10.433,10.433,33352
1995-01-23,10.08,10.08,10.08,10.08,64728
1995-01-24,10.024,10.024,10.024,10.024,97890
1995-01-25,10.024,10.024,10.024,10.024,29436
1995-01-26,9.672,9.672,9.672,9.672,56478
1995-01-27,9.1932,9.1932,9.1932,9.1932,20225
1995-01-30,9.1932,9.1932,9.1932,9.1932,37515
1995-01-31,8.7837,8.7837,8.7837,8.7837,35919
1995-02-01,9.4353,9.4353,9.4353,9.4353,55132
1995-02-02,9.1932,9.1932,9.1932,9.1932,59699
1995-02-03,8.8398,8.8398,8.8398,8.8398,86175
1995-02-06,9.491,9.491,9.491,9.491,13223
1995-02-07,10.024,10.024,10.024,10.024,63863
1995-02-08,10.024,10.024,10.024,10.024,138003
1995-02-09,10.08,10.08,10.08,10.08,61703
1995-02-10,10.024,10.024,10.024,10.024,93948
1995-02-13,9.726,9.726,9.726,9.726,20409
1995-02-14,10.024,10.024,10.024,10.024,48494
1995-02-15,10.024,10.024,10.024,10.024,43755
1995-02-16,10.024,10.024,10.024,10.024,33825
1995-02-17,10.552,10.552,10.552,10.552,112729
1995-02-20,10.495,10.495,10.495,10.495,121414
1995-02-21,10.613,10.613,10.613,10.613,179248
1995-02-22,10.259,10.259,10.259,10.259,122936
1995-02-23,10.613,10.613,10.613,10.613,118038
1995-02-24,11.202,11.202,11.202,11.202,142938
1995-02-27,10.552,10.552,10.552,10.552,68517
1995-02-28,10.378,10.378,10.378,10.378,21444
1995-03-01,10.378,10.378,10.378,10.378,15372
1995-03-02,10.613,10.613,10.613,10.613,32984
1995-03-03,10.904,10.904,10.904,10.904,62445
1995-03-06,10.904,10.904,10.904,10.904,21456
1995-03-07,10.904,10.904,10.904,10.904,41903
1995-03-08,10.904,10.904,10.904,10.904,25168
1995-03-09,10.966,10.966,10.966,10.966,23527
1995-03-10,10.904,10.904,10.904,10.904,72257
1995-03-13,10.849,10.849,10.849,10.849,102798
1995-03-14,10.904,10.904,10.904,10.904,45435
1995-03-15,10.904,10.904,10.904,10.904,46396
1995-03-16,10.787,10.787,10.787,10.787,11170
1995-03-17,10.787,10.787,10.787,10.787,20763
1995-03-20,10.787,10.787,10.787,10.787,17750
1995-03-21,10.904,10.904,10.904,10.904,49789
1995-03-22,10.787,10.787,10.787,10.787,23221
1995-03-23,10.787,10.787,10.787,10.787,50566
1995-03-24,10.787,10.787,10.787,10.787,25908
1995-03-27,10.966,10.966,10.966,10.966,46195
1995-03-28,10.904,10.904,10.904,10.904,41127
1995-03-29,10.904,10.904,10.904,10.904,30396
1995-03-30,11.022,11.022,11.022,11.022,30707
1995-03-31,11.085,11.085,11.085,11.085,31941
1995-04-03,11.085,11.085,11.085,11.085,24630
1995-04-04,11.32,11.32,11.32,11.32,74260
1995-04-05,11.493,11.493,11.493,11.493,43321
1995-04-06,12.616,12.616,12.616,12.616,99324
1995-04-07,13.855,13.855,13.855,13.855,139245
1995-04-10,15.206,15.206,15.206,15.206,218488
1995-04-11,15.802,15.802,15.802,15.802,170966
1995-04-12,15.622,15.622,15.622,15.622,201644
1995-04-13,15.441,15.441,15.441,15.441,249858
1995-04-14,16.682,16.682,16.682,16.682,125038
1995-04-18,18.331,18.331,18.331,18.331,67554
1995-04-19,20.16,20.16,20.16,20.16,144388
1995-04-20,20.63,20.63,20.63,20.63,161275
1995-04-21,18.566,18.566,18.566,18.566,156684
1995-04-24,20.395,20.395,20.395,20.395,120094
1995-04-25,19.453,19.453,19.453,19.453,118050
1995-04-26,17.505,17.505,17.505,17.505,153215
1995-04-27,18.331,18.331,18.331,18.331,165764
1995-04-28,17.686,17.686,17.686,17.686,102714
1995-05-04,17.686,17.686,17.686,17.686,104382
1995-05-05,17.686,17.686,17.686,17.686,70907
1995-05-09,17.686,17.686,17.686,17.686,58579
1995-05-10,18.04,18.04,18.04,18.04,52690
1995-05-11,19.162,19.162,19.162,19.162,157289
1995-05-12,19.453,19.453,19.453,19.453,126196
1995-05-15,19.453,19.453,19.453,19.453,111395
1995-05-16,18.982,18.982,18.982,18.982,74913
1995-05-17,17.686,17.686,17.686,17.686,45038
1995-05-18,16.508,16.508,16.508,16.508,67127
1995-05-19,17.097,17.097,17.097,17.097,77127
1995-05-22,16.508,16.508,16.508,16.508,70370
1995-05-23,16.508,16.508,16.508,16.508,114686
1995-05-24,17.686,17.686,17.686,17.686,35312
1995-05-25,19.162,19.162,19.162,19.162,129888
1995-05-26,18.449,18.449,18.449,18.449,119963
1995-05-29,19.334,19.334,19.334,19.334,156913
1995-05-30,17.686,17.686,17.686,17.686,70539
1995-05-31,18.51,18.51,18.51,18.51,69772
1995-06-01,17.686,17.686,17.686,17.686,133134
1995-06-02,18.747,18.747,18.747,18.747,66572
1995-06-05,19.162,19.162,19.162,19.162,101078
1995-06-06,19.397,19.397,19.397,19.397,75951
1995-06-07,19.453,19.453,19.453,19.453,243864
1995-06-08,20.042,20.042,20.042,20.042,183406
1995-06-09,20.042,20.042,20.042,20.042,78980
1995-06-12,20.042,20.042,20.042,20.042,78630
1995-06-13,20.042,20.042,20.042,20.042,149704
1995-06-14,19.334,19.334,19.334,19.334,97332
1995-06-16,18.331,18.331,18.331,18.331,61526
1995-06-19,18.331,18.331,18.331,18.331,51981
1995-06-20,18.331,18.331,18.331,18.331,65565
1995-06-21,18.864,18.864,18.864,18.864,65202
1995-06-22,18.566,18.566,18.566,18.566,25067
1995-06-23,18.864,18.864,18.864,18.864,30508
1995-06-26,19.75,19.75,19.75,19.75,51701
1995-06-27,19.805,19.805,19.805,19.805,54526
1995-06-28,19.453,19.453,19.453,19.453,60222
1995-06-29,19.515,19.515,19.515,19.515,31978
1995-06-30,19.453,19.453,19.453,19.453,42023
1995-07-03,19.453,19.453,19.453,19.453,83838
1995-07-04,18.275,18.275,18.275,18.275,49440
1995-07-05,18.275,18.275,18.275,18.275,63010
1995-07-06,18.747,18.747,18.747,18.747,55132
1995-07-07,18.926,18.926,18.926,18.926,63811
1995-07-10,19.099,19.099,19.099,19.099,65891
1995-07-11,18.864,18.864,18.864,18.864,51764
1995-07-12,18.275,18.275,18.275,18.275,46867
1995-07-13,18.275,18.275,18.275,18.275,71082
1995-07-14,19.099,19.099,19.099,19.099,131470
1995-07-17,19.453,19.453,19.453,19.453,97465
1995-07-18,19.453,19.453,19.453,19.453,38990
1995-07-19,18.392,18.392,18.392,18.392,42896
1995-07-20,18.864,18.864,18.864,18.864,54602
1995-07-21,18.275,18.275,18.275,18.275,65912
1995-07-24,18.392,18.392,18.392,18.392,49450
1995-07-25,18.275,18.275,18.275,18.275,88593
1995-07-26,18.275,18.275,18.275,18.275,17618
1995-07-27,18.864,18.864,18.864,18.864,26053
1995-07-28,18.566,18.566,18.566,18.566,54741
1995-07-31,18.275,18.275,18.275,18.275,24185
1995-08-01,18.566,18.566,18.566,18.566,49464
1995-08-02,18.566,18.566,18.566,18.566,11039
1995-08-03,18.566,18.566,18.566,18.566,39313
1995-08-04,18.566,18.566,18.566,18.566,46420
1995-08-07,18.864,18.864,18.864,18.864,46305
1995-08-08,18.864,18.864,18.864,18.864,44554
1995-08-09,18.864,18.864,18.864,18.864,62660
1995-08-10,18.864,18.864,18.864,18.864,58338
1995-08-11,19.217,19.217,19.217,19.217,42721
1995-08-16,19.334,19.334,19.334,19.334,28779
1995-08-17,19.217,19.217,19.217,19.217,24276
1995-08-18,19.217,19.217,19.217,19.217,32157
1995-08-21,19.217,19.217,19.217,19.217,20421
1995-08-22,19.217,19.217,19.217,19.217,30051
1995-08-23,19.162,19.162,19.162,19.162,10491
1995-08-24,19.162,19.162,19.162,19.162,54076
1995-08-25,19.217,19.217,19.217,19.217,25390
1995-08-28,18.801,18.801,18.801,18.801,24064
1995-08-29,18.157,18.157,18.157,18.157,39103
1995-08-30,17.686,17.686,17.686,17.686,107832
1995-08-31,17.686,17.686,17.686,17.686,25955
1995-09-01,17.505,17.505,17.505,17.505,20820
1995-09-04,17.686,17.686,17.686,17.686,42410
1995-09-05,18.449,18.449,18.449,18.449,23032
1995-09-06,18.566,18.566,18.566,18.566,25122
1995-09-07,18.449,18.449,18.449,18.449,18506
1995-09-08,18.684,18.684,18.684,18.684,29299
1995-09-11,18.864,18.864,18.864,18.864,58789
1995-09-12,19.453,19.453,19.453,19.453,94378
1995-09-13,19.453,19.453,19.453,19.453,109878
1995-09-14,20.339,20.339,20.339,20.339,143085
