Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-26,18.597,18.762,17.926,18.509,13017474
1999-11-29,18.422,18.509,18.091,18.178,4514451
1999-11-30,18.344,18.675,18.344,18.509,2698465
1999-12-01,18.675,19.093,18.509,19.093,2526612
1999-12-02,19.268,19.851,19.18,19.433,2712361
1999-12-03,19.433,19.763,19.268,19.685,1935680
1999-12-06,19.851,20.522,19.851,20.436,2466932
1999-12-07,20.357,20.436,20.104,20.104,1991775
1999-12-08,20.104,20.601,20.104,20.269,3125554
1999-12-09,20.269,20.269,19.763,20.104,2063327
1999-12-10,20.269,20.269,19.929,20.016,1537665
1999-12-13,19.929,20.104,19.763,19.851,1294901
1999-12-14,20.104,20.436,20.104,20.436,2594960
1999-12-15,20.357,20.357,20.104,20.183,1076069
1999-12-16,20.104,20.104,19.851,19.929,1203028
1999-12-17,19.929,20.104,19.851,19.851,1107285
1999-12-20,20.104,20.357,20.016,20.357,2000203
1999-12-21,20.183,20.775,20.183,20.436,1306445
1999-12-22,20.941,21.612,20.941,21.437,2351007
1999-12-23,21.524,21.777,21.359,21.437,1072841
1999-12-27,21.524,22.03,21.524,21.612,1264305
1999-12-28,21.524,21.524,21.02,21.106,920245
1999-12-29,21.106,21.865,21.106,21.865,1651774
2000-01-03,22.282,22.613,21.943,22.361,1319083
2000-01-04,21.777,21.777,21.271,21.437,1619084
2000-01-05,20.689,21.359,20.689,21.193,2232042
2000-01-06,21.271,21.69,21.02,21.612,1349142
2000-01-07,21.943,22.866,21.943,22.613,3437647
2000-01-10,22.701,23.789,22.701,22.866,3623076
2000-01-11,22.526,22.701,22.03,22.448,1383247
2000-01-12,21.943,22.361,21.943,22.361,1121840
2000-01-13,22.448,23.197,22.448,23.032,1757998
2000-01-14,23.032,23.372,22.613,22.866,3303523
2000-01-17,22.613,22.866,22.613,22.701,1452352
2000-01-18,22.779,22.866,22.03,22.196,1023155
2000-01-19,21.865,22.361,21.865,22.282,1271143
2000-01-20,22.361,22.701,22.108,22.613,1776720
2000-01-21,22.448,22.866,22.448,22.779,1291622
2000-01-24,22.448,22.448,21.777,22.108,972480
2000-01-25,21.524,21.524,20.522,21.271,1586820
2000-01-26,21.271,21.437,21.02,21.271,1142297
2000-01-27,21.106,21.612,21.106,21.612,818319
2000-01-28,21.69,22.108,21.106,21.359,857806
2000-01-31,21.193,21.193,20.941,21.02,739659
2000-02-01,21.437,21.865,20.689,20.775,1178289
2000-02-02,20.854,21.02,20.601,20.941,1336511
2000-02-03,21.106,21.865,21.106,21.69,1536356
2000-02-04,21.943,22.196,21.271,21.437,1182578
2000-02-07,21.359,21.524,21.02,21.193,1021703
2000-02-08,21.193,21.193,20.775,20.941,1471203
2000-02-09,21.106,21.193,20.436,20.522,2550598
2000-02-10,20.436,20.522,20.104,20.357,1170905
2000-02-11,20.104,20.104,19.346,19.511,2827756
2000-02-14,19.093,20.269,19.093,20.104,2120741
2000-02-15,20.941,20.941,20.183,20.269,2131635
2000-02-16,20.522,20.522,19.511,19.763,1475412
2000-02-17,19.763,20.522,19.511,20.522,1375061
2000-02-18,20.357,21.02,20.357,20.689,2502513
2000-02-21,19.685,20.357,19.685,20.269,902614
2000-02-22,20.269,20.775,19.851,19.851,954966
2000-02-23,19.929,20.183,19.346,19.685,1447431
2000-02-24,19.511,19.851,19.093,19.268,1661961
2000-02-25,19.268,19.268,18.762,19.015,1006927
2000-02-28,18.344,19.015,18.178,18.675,1608955
2000-02-29,19.015,19.015,18.597,18.762,713124
2000-03-01,18.84,19.015,18.597,18.84,1073231
2000-03-02,18.84,19.598,18.84,19.433,1163817
2000-03-03,19.511,19.851,19.433,19.851,850323
2000-03-06,20.104,20.269,19.598,19.685,790719
2000-03-07,19.685,19.685,19.268,19.511,666878
2000-03-08,18.84,19.346,18.84,19.18,778179
2000-03-09,19.433,19.433,18.84,18.84,678777
2000-03-10,19.598,19.598,19.015,19.093,683092
2000-03-13,19.015,19.18,18.344,18.597,1310983
2000-03-14,18.84,19.433,18.597,19.433,2806045
2000-03-15,19.093,19.18,18.762,18.84,952962
2000-03-16,19.511,19.511,19.015,19.268,1266187
2000-03-17,19.685,19.685,19.433,19.511,1697956
2000-03-20,19.511,19.511,19.268,19.346,675228
2000-03-21,19.268,19.433,19.015,19.18,528881
2000-03-22,19.685,20.357,19.685,20.104,1899158
2000-03-23,20.104,20.436,20.104,20.269,1580313
2000-03-24,20.436,20.522,20.183,20.357,1461747
2000-03-27,20.357,20.357,19.929,19.929,621147
2000-03-28,20.104,20.104,19.851,20.104,991051
2000-03-29,20.104,20.104,19.763,19.929,843260
2000-03-30,20.016,20.016,19.346,19.511,453521
2000-03-31,19.268,19.511,19.268,19.511,488678
2000-04-03,19.598,19.598,18.927,18.927,497746
2000-04-04,18.927,19.015,18.675,18.84,835750
2000-04-05,18.927,18.927,18.344,18.597,1009494
2000-04-06,18.675,18.927,18.597,18.84,546080
2000-04-07,19.015,19.015,18.509,18.84,679995
2000-04-10,19.093,19.346,19.093,19.346,625411
