Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-06-22,6.0648,6.0648,6.0648,6.0648,1013431
1993-06-24,5.5383,5.5383,5.5383,5.5383,898337
1993-06-28,5.5383,5.5383,5.5383,5.5383,427115
1993-06-29,5.8609,5.8609,5.8609,5.8609,346081
1993-07-01,6.0648,6.0648,6.0648,6.0648,560088
1993-07-05,6.3452,6.3452,6.3452,6.3452,363031
1993-07-06,6.379,6.379,6.379,6.379,253656
1993-07-08,5.742,5.742,5.742,5.742,275358
1993-07-12,5.8609,5.8609,5.8609,5.8609,129713
1993-07-13,5.8184,5.8184,5.8184,5.8184,165644
1993-07-15,5.742,5.742,5.742,5.742,300073
1993-07-19,5.742,5.742,5.742,5.742,255941
1993-07-20,5.6571,5.6571,5.6571,5.6571,313391
1993-07-22,5.7845,5.7845,5.7845,5.7845,362389
1993-07-26,5.7845,5.7845,5.7845,5.7845,235171
1993-07-27,5.6995,5.6995,5.6995,5.6995,179607
1993-07-29,5.7845,5.7845,5.7845,5.7845,236296
1993-08-02,5.8609,5.8609,5.8609,5.8609,190723
1993-08-03,5.8609,5.8609,5.8609,5.8609,203081
1993-08-05,5.8184,5.8184,5.8184,5.8184,210868
1993-08-09,6.379,6.379,6.379,6.379,549643
1993-08-10,7.0246,7.0246,7.0246,7.0246
1993-08-12,7.7466,7.7466,7.7466,7.7466
1993-08-16,8.4686,8.4686,8.4686,8.4686,671908
1993-08-17,9.3185,9.3185,9.3185,9.3185,846909
1993-08-19,10.201,10.201,10.201,10.201,573729
1993-08-23,11.119,11.119,11.119,11.119
1993-08-24,12.164,12.164,12.164,12.164,246199
1993-08-26,13.413,13.413,13.413,13.413,510867
1993-08-30,12.087,12.087,12.087,12.087,495543
1993-08-31,10.923,10.923,10.923,10.923,569520
1993-09-02,11.926,11.926,11.926,11.926,348984
1993-09-06,13.047,13.047,13.047,13.047,783773
1993-09-07,11.722,11.722,11.722,11.722,737517
1993-09-09,11.238,11.238,11.238,11.238,341702
1993-09-13,11.119,11.119,11.119,11.119,199060
1993-09-14,11.238,11.238,11.238,11.238,218356
1993-09-16,11.603,11.603,11.603,11.603,358214
1993-09-20,10.439,10.439,10.439,10.439,273739
1993-09-21,9.3943,9.3943,9.3943,9.3943,225457
1993-09-23,8.4686,8.4686,8.4686,8.4686,273873
1993-09-27,7.789,7.789,7.789,7.789,436985
1993-09-28,8.5536,8.5536,8.5536,8.5536
1993-09-30,9.3185,9.3185,9.3185,9.3185,296298
1993-10-04,10.201,10.201,10.201,10.201,670451
1993-10-05,10.677,10.677,10.677,10.677,640052
1993-10-07,10.677,10.677,10.677,10.677,683160
