Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-04,2.6201,2.7569,2.6201,2.6931,8615238
2005-02-07,2.6931,2.7479,2.6384,2.7479,1463688
2005-02-08,2.7479,2.7479,2.7022,2.7386,969748
2005-02-09,2.7386,2.7661,2.7205,2.7569,1210906
2005-02-10,2.7661,2.7843,2.7479,2.7661,474064
2005-02-11,2.7569,2.7935,2.7386,2.7569,541748
2005-02-14,2.7205,2.7661,2.7205,2.7295,115290
2005-02-15,2.7205,2.7386,2.7205,2.7386,71089
2005-02-16,2.7295,2.7295,2.6475,2.7205,621590
2005-02-17,2.6748,2.7205,2.6384,2.7205,438663
2005-02-18,2.6839,2.7022,2.6475,2.7022,52164
2005-02-21,2.7113,2.7113,2.6018,2.6384,177302
2005-02-22,2.6384,2.6657,2.629,2.6657,198908
2005-02-23,2.6566,2.6657,2.6384,2.6475,149879
2005-02-24,2.6384,2.6839,2.6384,2.6839,202851
2005-02-25,2.6839,2.7386,2.6839,2.7205,585461
2005-02-28,2.7205,2.7205,2.6657,2.6931,67019
2005-03-01,2.6931,2.6931,2.629,2.6748,31718
2005-03-02,2.6748,2.6839,2.629,2.6839,47073
2005-03-03,2.6839,2.7113,2.6566,2.6748,41027
2005-03-04,2.6657,2.6748,2.6475,2.6748,114781
2005-03-07,2.6748,2.6839,2.6748,2.6839,26629
2005-03-08,2.6839,2.6839,2.6839,2.6839,19695
2005-03-09,2.6839,2.7022,2.6566,2.6839,56006
2005-03-10,2.6839,2.7022,2.6839,2.6839,267579
2005-03-11,2.6839,2.6839,2.6384,2.6839,59735
2005-03-14,2.6839,2.6839,2.6475,2.6475,115755
2005-03-15,2.6475,2.6748,2.6384,2.6657,36638
2005-03-16,2.6657,2.6657,2.6475,2.6475,86758
2005-03-17,2.5287,2.6384,2.5287,2.6384,85861
2005-03-18,2.6201,2.6657,2.5743,2.6566,161487
2005-03-21,2.6566,2.6566,2.629,2.6384,84927
2005-03-22,2.6109,2.629,2.5927,2.6109,570583
2005-03-23,2.6109,2.6109,2.5652,2.5652,14663
2005-03-24,2.5287,2.6748,2.5287,2.629,90192
2005-03-29,2.6566,2.6566,2.629,2.6384,9447
2005-03-30,2.6384,2.6566,2.6384,2.6566,515500
2005-03-31,2.6566,2.7205,2.6566,2.7113,362678
2005-04-01,2.7113,2.7113,2.6839,2.6839,62613
2005-04-04,2.6931,2.7113,2.6657,2.7113,305740
2005-04-05,2.7113,2.7205,2.7113,2.7205,68327
2005-04-06,2.7022,2.9304,2.7022,2.8483,527459
2005-04-07,2.8483,2.8938,2.8208,2.8483,82830
2005-04-11,2.8483,2.976,2.8117,2.9031,1006555
2005-04-12,2.8756,2.9031,2.8756,2.8938,217888
2005-04-13,2.8938,2.8938,2.8665,2.8665,153237
2005-04-14,2.8665,2.8938,2.8573,2.8938,1665057
2005-04-15,2.8848,2.8938,2.8665,2.8938,39434
2005-04-18,2.8208,2.8665,2.7751,2.83,65751
2005-04-19,2.8848,2.8938,2.8208,2.8938,59651
