Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,8.2893,8.2893,8.2893,8.2893,6980479
1997-07-11,8.4658,8.4658,8.4658,8.4658,4415305
1997-07-14,7.6216,7.6216,7.6216,7.6216,1128978
1997-07-15,6.8822,6.8822,6.8822,6.8822,2359338
1997-07-16,7.5499,7.5499,7.5499,7.5499,1617710
1997-07-17,7.6931,7.7598,7.6931,7.7598,2180475
1997-07-18,7.5834,7.5834,7.3401,7.3735,758127
1997-07-21,7.5834,7.5834,7.5166,7.5834,1037370
1997-07-22,7.5834,7.6931,7.5834,7.6216,672611
1997-07-23,7.6549,7.6549,7.4451,7.5166,576767
1997-07-24,7.5834,7.5834,7.5166,7.5166,702943
1997-07-25,7.5499,7.5499,7.4784,7.4784,561043
1997-07-28,7.4117,7.4117,7.302,7.302,584831
1997-07-29,7.2352,7.4117,7.2352,7.3401,334722
1997-07-30,7.3401,7.5834,7.3401,7.5166,373090
1997-07-31,7.4784,7.4784,7.302,7.3401,370982
1997-08-01,7.3401,7.4784,7.3401,7.3401,276871
1997-08-04,7.4117,7.4784,7.4117,7.4451,392680
1997-08-05,7.4784,7.5834,7.4784,7.5834,580634
1997-08-06,7.5834,7.5834,7.4784,7.5166,424449
1997-08-07,7.5499,8.0459,7.5499,8.0078,531073
1997-08-08,7.9029,8.4658,7.9029,8.2559,1051179
1997-08-11,8.1129,8.1129,7.8696,7.9029,755603
1997-08-12,7.8696,8.1129,7.8696,8.0078,624760
1997-08-13,8.1129,8.1129,8.1129,8.1129,837402
1997-08-14,7.8314,7.9363,7.7981,7.8314,363082
1997-08-18,7.7264,7.7264,7.5166,7.5834,349087
1997-08-19,7.8314,8.1129,7.8314,7.9745,653053
1997-08-20,8.0459,8.0459,7.9029,7.9363,640193
1997-08-21,7.7598,7.7598,7.6931,7.6931,221845
1997-08-22,7.6549,7.8314,7.6549,7.7981,212598
1997-08-25,7.6931,7.7981,7.5834,7.5834,199117
1997-08-26,7.5834,7.7264,7.5834,7.6549,232265
1997-08-27,7.6549,7.7264,7.6549,7.6931,218305
1997-08-28,7.8696,8.0459,7.8696,8.0078,869131
1997-08-29,7.9363,7.9363,7.8696,7.9029,930047
1997-09-01,7.7981,7.8696,7.7981,7.7981,247288
