Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-10-06,3.3667,3.3667,3.3667,3.3667,189604
1992-10-08,3.2506,3.2506,3.2506,3.2506,141727
1992-10-13,2.9356,2.9356,2.9356,2.9356,151061
1992-10-15,2.9853,2.9853,2.9853,2.9853,93157
1992-10-20,3.2838,3.2838,3.2838,3.2838,144648
1992-10-22,3.5989,3.5989,3.5989,3.5989,114978
1992-10-27,3.6486,3.6486,3.6486,3.6486,126923
1992-10-29,3.4994,3.4994,3.4994,3.4994,93502
1992-11-03,3.4994,3.4994,3.4994,3.4994,56754
1992-11-05,3.4828,3.4828,3.4828,3.4828,49141
1992-11-10,3.516,3.516,3.516,3.516,91482
1992-11-12,3.516,3.516,3.516,3.516,12300
1992-11-17,3.2506,3.2506,3.2506,3.2506,36885
1992-11-19,3.3501,3.3501,3.3501,3.3501,25536
1992-11-24,3.3004,3.3004,3.3004,3.3004,46055
1992-11-26,3.118,3.118,3.118,3.118,32088
1992-12-01,3.317,3.317,3.317,3.317,39644
1992-12-03,3.3501,3.3501,3.3501,3.3501,31430
1992-12-08,3.3833,3.3833,3.3833,3.3833,58375
1992-12-10,3.3336,3.3336,3.3336,3.3336,44577
1992-12-15,3.3004,3.3004,3.3004,3.3004,24740
1992-12-17,3.2673,3.2673,3.2673,3.2673,17522
1992-12-22,3.2175,3.2175,3.2175,3.2175,32402
1992-12-29,3.1512,3.1512,3.1512,3.1512,37272
1993-01-04,3.1677,3.1677,3.1677,3.1677,11318
1993-01-05,3.2506,3.2506,3.2506,3.2506,21688
1993-01-07,3.3336,3.3336,3.3336,3.3336,38726
1993-01-11,3.3999,3.3999,3.3999,3.3999,35514
1993-01-12,3.4331,3.4331,3.4331,3.4331,32916
1993-01-14,3.4331,3.4331,3.4331,3.4331,33221
1993-01-18,3.3999,3.3999,3.3999,3.3999,26001
1993-01-19,3.3667,3.3667,3.3667,3.3667,18119
1993-01-21,3.3501,3.3501,3.3501,3.3501,20671
1993-01-25,3.3501,3.3501,3.3501,3.3501,26073
1993-01-26,3.317,3.317,3.317,3.317,24660
1993-01-28,3.2506,3.2506,3.2506,3.2506,21227
1993-02-01,3.2341,3.2341,3.2341,3.2341,26515
1993-02-02,3.2673,3.2673,3.2673,3.2673,19374
1993-02-04,3.2673,3.2673,3.2673,3.2673,31540
1993-02-08,3.3004,3.3004,3.3004,3.3004,21316
1993-02-09,3.2506,3.2506,3.2506,3.2506,33070
1993-02-11,3.1843,3.1843,3.1843,3.1843,42112
1993-02-15,3.1843,3.1843,3.1843,3.1843,22971
1993-02-16,3.1843,3.1843,3.1843,3.1843,12656
1993-02-18,3.1512,3.1512,3.1512,3.1512,71927
1993-02-22,3.118,3.118,3.118,3.118,22884
1993-02-23,3.1512,3.1512,3.1512,3.1512,13947
1993-02-25,3.1512,3.1512,3.1512,3.1512,38668
1993-03-01,3.2009,3.2009,3.2009,3.2009,22260
1993-03-02,3.2341,3.2341,3.2341,3.2341,38744
1993-03-04,3.2673,3.2673,3.2673,3.2673,23107
1993-03-08,3.2838,3.2838,3.2838,3.2838,55804
1993-03-09,3.3833,3.3833,3.3833,3.3833,71631
1993-03-11,3.4828,3.4828,3.4828,3.4828,113859
1993-03-15,3.5325,3.5325,3.5325,3.5325,78512
1993-03-16,3.3004,3.3004,3.3004,3.3004,22316
1993-03-18,3.3667,3.3667,3.3667,3.3667,31425
1993-03-22,3.4331,3.4331,3.4331,3.4331,42031
1993-03-23,3.516,3.516,3.516,3.516,93813
1993-03-25,3.4994,3.4994,3.4994,3.4994,42121
1993-03-29,3.4497,3.4497,3.4497,3.4497,28641
1993-03-30,3.4828,3.4828,3.4828,3.4828,56204
1993-04-01,3.4828,3.4828,3.4828,3.4828,51251
