Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,22.835,23.555,22.776,23.555,110429400
2010-05-13,23.424,23.678,23.163,23.358,27639140
2010-05-14,23.247,23.555,23.116,23.228,16155690
2010-05-17,22.639,23.097,22.587,22.966,14234550
2010-05-18,22.933,23.215,22.92,23.097,8779400
2010-05-19,22.914,23.018,22.632,22.632,14134870
2010-05-20,22.508,22.574,21.625,21.657,15855140
2010-05-21,21.657,22.017,21.331,22.017,8147730
2010-05-24,22.024,22.54,22.017,22.409,7173380
2010-05-25,21.925,22.24,21.461,21.592,7763430
2010-05-26,21.873,23.163,21.873,23.163,38875130
2010-05-27,22.769,23.058,22.704,22.914,3649350
2010-05-28,22.927,22.992,22.639,22.9,2532140
2010-05-31,22.639,22.9,22.443,22.9,1141880
2010-06-01,22.6,22.887,22.279,22.809,3845380
2010-06-02,22.697,22.966,22.645,22.868,3477570
2010-06-04,22.809,22.966,22.377,22.377,3400480
2010-06-07,21.985,22.409,21.985,22.246,2766100
2010-06-08,22.259,22.508,22.181,22.181,18615120
2010-06-09,22.226,22.763,22.115,22.704,3380790
2010-06-10,22.527,22.985,22.527,22.9,4976120
2010-06-11,22.861,22.933,22.73,22.835,6057810
2010-06-14,22.835,23.129,22.704,23.011,2525310
2010-06-15,22.9,23.089,22.789,23.063,4088360
2010-06-16,23.076,23.129,22.652,23.058,5049070
2010-06-17,22.868,23.162,22.835,23.136,4562820
2010-06-18,23.071,23.476,23.071,23.391,17017430
2010-06-21,23.358,23.869,23.358,23.869,5277160
2010-06-22,23.587,23.77,23.456,23.555,2710870
2010-06-23,23.489,23.686,23.437,23.489,3160490
2010-06-24,23.489,23.62,23.228,23.228,2564050
2010-06-25,23.293,23.515,23.234,23.234,3305290
2010-06-28,23.267,23.338,22.933,23.031,1064980
2010-06-29,23.031,23.084,22.835,22.9,3545890
2010-06-30,22.9,23.162,22.868,22.9,1571670
2010-07-01,22.9,23.404,22.782,23.293,3490900
2010-07-02,23.084,23.555,23.084,23.163,2624390
2010-07-05,23.176,23.241,23.031,23.037,368320
2010-07-06,23.084,23.463,23.071,23.463,716590
2010-07-07,23.168,23.489,23.129,23.424,3169460
2010-07-08,23.555,23.869,23.293,23.483,6455270
2010-07-09,23.496,23.646,23.319,23.62,648660
2010-07-12,23.555,24.34,23.45,24.34,3888050
2010-07-13,24.228,24.732,24.228,24.732,4012270
2010-07-14,24.732,24.85,24.209,24.209,1769830
2010-07-15,24.209,24.471,24.143,24.209,607550
2010-07-16,24.078,24.569,24.078,24.078,903670
